dataset,n,m,metodo,tiempo,costo,gap,tp
sol_optimas,666,221445.0,TABU_CICLOS 160 25 300,28313.3,308501,4.804693604386486,TSP_GA
sol_optimas,666,221445.0,TABU_ESTRUCTURA 160 25 300,5076.85,308542,4.818622221920236,TSP_GA
sol_optimas,107,5671.0,TABU_CICLOS 160 25 300,346.877,44303,0.0,TSP_GA
sol_optimas,107,5671.0,TABU_ESTRUCTURA 160 25 300,113.607,44303,0.0,TSP_GA
sol_optimas,99,4851.0,TABU_CICLOS 160 25 300,336.217,1234,1.899256812551613,TSP_GA
sol_optimas,99,4851.0,TABU_ESTRUCTURA 160 25 300,110.069,1238,2.2295623451692848,TSP_GA
sol_optimas,200,19900.0,TABU_CICLOS 160 25 300,1675.33,30167,2.720648324707156,TSP_GA
sol_optimas,200,19900.0,TABU_ESTRUCTURA 160 25 300,386.109,30344,3.3233451375646865,TSP_GA
sol_optimas,654,213531.0,TABU_CICLOS 160 25 300,26218.7,35014,1.0709234188724963,TSP_GA
sol_optimas,654,213531.0,TABU_ESTRUCTURA 160 25 300,4647.17,35123,1.38556129665443,TSP_GA
sol_optimas,574,164451.0,TABU_CICLOS 160 25 300,22246.6,38736,4.961387345888085,TSP_GA
sol_optimas,574,164451.0,TABU_ESTRUCTURA 160 25 300,3774.84,38917,5.451835794607774,TSP_GA
sol_optimas,152,11476.0,TABU_CICLOS 160 25 300,870.113,74293,0.8292391628891664,TSP_GA
sol_optimas,152,11476.0,TABU_ESTRUCTURA 160 25 300,221.614,77636,5.366303846258248,TSP_GA
sol_optimas,127,8001.0,TABU_CICLOS 160 25 300,589.857,121682,2.874486396915856,TSP_GA
sol_optimas,127,8001.0,TABU_ESTRUCTURA 160 25 300,158.004,122819,3.8357484655315233,TSP_GA
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,22.3505,2020,0.0,TSP_GA
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,9.94971,2039,0.9405940594059388,TSP_GA
sol_optimas,1060,561270.0,TABU_CICLOS 160 25 300,68637.0,231898,3.48246717895168,TSP_GA
sol_optimas,1060,561270.0,TABU_ESTRUCTURA 160 25 300,18921.4,232087,3.566806786437837,TSP_GA
sol_optimas,76,2850.0,TABU_CICLOS 160 25 300,188.228,109470,1.2121044018528266,TSP_GA
sol_optimas,76,2850.0,TABU_ESTRUCTURA 160 25 300,57.8905,109814,1.5301546796845429,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,294.767,22427,1.2917212411363437,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,102.153,22486,1.5581952034686708,TSP_GA
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,680.836,6874,5.300245098039213,TSP_GA
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,217.319,6874,5.300245098039213,TSP_GA
sol_optimas,264,34716.0,TABU_CICLOS 160 25 300,2776.96,50792,3.37234150808996,TSP_GA
sol_optimas,264,34716.0,TABU_ESTRUCTURA 160 25 300,651.874,52337,6.516739594993396,TSP_GA
sol_optimas,202,20301.0,TABU_CICLOS 160 25 300,1607.48,41766,3.999003984063748,TSP_GA
sol_optimas,202,20301.0,TABU_ESTRUCTURA 160 25 300,386.962,41769,4.00647410358566,TSP_GA
sol_optimas,532,141246.0,TABU_CICLOS 160 25 300,14738.9,28973,4.648558838402067,TSP_GA
sol_optimas,532,141246.0,TABU_ESTRUCTURA 160 25 300,3021.26,28973,4.648558838402067,TSP_GA
sol_optimas,42,861.0,TABU_CICLOS 160 25 300,46.935,705,0.8583690987124442,TSP_GA
sol_optimas,42,861.0,TABU_ESTRUCTURA 160 25 300,17.1619,709,1.430615164520745,TSP_GA
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,925.041,26944,3.115193264447001,TSP_GA
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,219.51,26948,3.1305013394565577,TSP_GA
sol_optimas,76,2850.0,TABU_CICLOS 160 25 300,150.568,539,0.18587360594794688,TSP_GA
sol_optimas,76,2850.0,TABU_ESTRUCTURA 160 25 300,58.5262,549,2.044609665427501,TSP_GA
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,2697.85,134138,5.918211034166916,TSP_GA
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,473.151,134138,5.918211034166916,TSP_GA
sol_optimas,200,19900.0,TABU_CICLOS 160 25 300,1764.54,29995,1.8955735978530441,TSP_GA
sol_optimas,200,19900.0,TABU_ESTRUCTURA 160 25 300,388.214,30059,2.112987057105016,TSP_GA
sol_optimas,144,10296.0,TABU_CICLOS 160 25 300,643.612,59113,0.983993030049362,TSP_GA
sol_optimas,144,10296.0,TABU_ESTRUCTURA 160 25 300,203.727,59179,1.0967422314091806,TSP_GA
sol_optimas,724,261726.0,TABU_CICLOS 160 25 300,37487.3,43759,4.411834884275834,TSP_GA
sol_optimas,724,261726.0,TABU_ESTRUCTURA 160 25 300,6594.94,43758,4.409448818897644,TSP_GA
sol_optimas,561,157080.0,TABU_CICLOS 160 25 300,14491.2,2872,3.944987332609486,TSP_GA
sol_optimas,561,157080.0,TABU_ESTRUCTURA 160 25 300,3271.84,2895,4.777415852334428,TSP_GA
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,4590.7,43819,5.983794896601765,TSP_GA
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,993.45,44260,7.050429314306442,TSP_GA
sol_optimas,1000,499500.0,TABU_CICLOS 160 25 300,89952.3,19998155,7.173040621043597,TSP_GA
sol_optimas,1000,499500.0,TABU_ESTRUCTURA 160 25 300,16156.0,20000416,7.185157651081823,TSP_GA
sol_optimas,150,11175.0,TABU_CICLOS 160 25 300,759.5,27389,3.2611974061227613,TSP_GA
sol_optimas,150,11175.0,TABU_ESTRUCTURA 160 25 300,218.573,27512,3.724928366762171,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,290.08,21393,0.5215675218494482,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,101.01,21393,0.5215675218494482,TSP_GA
sol_optimas,14,91.0,TABU_CICLOS 160 25 300,4.70879,3323,0.0,TSP_GA
sol_optimas,14,91.0,TABU_ESTRUCTURA 160 25 300,1.78471,3336,0.39121275955463375,TSP_GA
sol_optimas,159,12561.0,TABU_CICLOS 160 25 300,852.353,42463,0.9101711026616073,TSP_GA
sol_optimas,159,12561.0,TABU_ESTRUCTURA 160 25 300,241.698,44182,4.995247148288982,TSP_GA
sol_optimas,229,26106.0,TABU_CICLOS 160 25 300,1978.74,141068,4.803791919882315,TSP_GA
sol_optimas,229,26106.0,TABU_ESTRUCTURA 160 25 300,492.955,141539,5.153712426264107,TSP_GA
sol_optimas,137,9316.0,TABU_CICLOS 160 25 300,717.807,71695,2.636966200449507,TSP_GA
sol_optimas,137,9316.0,TABU_ESTRUCTURA 160 25 300,187.55,72133,3.263997251370739,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,337.735,20937,0.9060677623018023,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,100.801,20769,0.09639018747891726,TSP_GA
sol_optimas,130,8385.0,TABU_CICLOS 160 25 300,651.339,6497,6.3338788870703695,TSP_GA
sol_optimas,130,8385.0,TABU_ESTRUCTURA 160 25 300,169.608,6497,6.3338788870703695,TSP_GA
sol_optimas,136,9180.0,TABU_CICLOS 160 25 300,675.358,103623,7.07952713594841,TSP_GA
sol_optimas,136,9180.0,TABU_ESTRUCTURA 160 25 300,182.871,106238,9.781755053114537,TSP_GA
sol_optimas,280,39060.0,TABU_CICLOS 160 25 300,3981.51,2669,3.4897246994959374,TSP_GA
sol_optimas,280,39060.0,TABU_ESTRUCTURA 160 25 300,723.291,2679,3.877471888328813,TSP_GA
sol_optimas,51,1275.0,TABU_CICLOS 160 25 300,71.4811,430,0.9389671361502252,TSP_GA
sol_optimas,51,1275.0,TABU_ESTRUCTURA 160 25 300,26.5561,444,4.225352112676049,TSP_GA
sol_optimas,105,5460.0,TABU_CICLOS 160 25 300,356.681,14646,1.8568746088045032,TSP_GA
sol_optimas,105,5460.0,TABU_ESTRUCTURA 160 25 300,111.107,14665,1.989011753251276,TSP_GA
sol_optimas,195,18915.0,TABU_CICLOS 160 25 300,1501.69,2366,1.851054670684448,TSP_GA
sol_optimas,195,18915.0,TABU_ESTRUCTURA 160 25 300,363.957,2408,3.6590615583297534,TSP_GA
sol_optimas,262,34191.0,TABU_CICLOS 160 25 300,2787.79,2483,4.415475189234641,TSP_GA
sol_optimas,262,34191.0,TABU_ESTRUCTURA 160 25 300,666.152,2492,4.793944491169057,TSP_GA
sol_optimas,657,215496.0,TABU_CICLOS 160 25 300,21527.0,50942,4.150310762185143,TSP_GA
sol_optimas,657,215496.0,TABU_ESTRUCTURA 160 25 300,5056.6,51056,4.383382401046788,TSP_GA
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,23.2706,1633,1.4285714285714164,TSP_GA
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,9.82456,1646,2.236024844720504,TSP_GA
sol_optimas,431,92665.0,TABU_CICLOS 160 25 300,8719.5,184363,7.554225442495948,TSP_GA
sol_optimas,431,92665.0,TABU_ESTRUCTURA 160 25 300,1822.63,184592,7.687820131377833,TSP_GA
sol_optimas,417,86736.0,TABU_CICLOS 160 25 300,9124.41,12320,3.8698254784588215,TSP_GA
sol_optimas,417,86736.0,TABU_ESTRUCTURA 160 25 300,1704.55,12347,4.09746227130934,TSP_GA
sol_optimas,299,44551.0,TABU_CICLOS 160 25 300,4118.2,50876,5.571579755556016,TSP_GA
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 25 300,844.134,51014,5.857940279305268,TSP_GA
sol_optimas,1002,501501.0,TABU_CICLOS 160 25 300,81017.3,272932,5.360844640892509,TSP_GA
sol_optimas,1002,501501.0,TABU_ESTRUCTURA 160 25 300,15152.8,273134,5.438823370456873,TSP_GA
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,1972.08,4035,2.9599387598877342,TSP_GA
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,473.809,4061,3.6233733095177456,TSP_GA
sol_optimas,16,120.0,TABU_CICLOS 160 25 300,5.95757,6859,0.0,TSP_GA
sol_optimas,16,120.0,TABU_ESTRUCTURA 160 25 300,2.42124,6890,0.4519609272488623,TSP_GA
sol_optimas,101,5050.0,TABU_CICLOS 160 25 300,391.473,655,4.133545310015904,TSP_GA
sol_optimas,101,5050.0,TABU_ESTRUCTURA 160 25 300,101.809,650,3.3386327503974513,TSP_GA
sol_optimas,1084,586986.0,TABU_CICLOS 160 25 300,103394.0,252253,5.414192405253715,TSP_GA
sol_optimas,1084,586986.0,TABU_ESTRUCTURA 160 25 300,19241.9,252257,5.415863968206878,TSP_GA
sol_optimas,124,7626.0,TABU_CICLOS 160 25 300,582.732,60056,1.738099271556834,TSP_GA
sol_optimas,124,7626.0,TABU_ESTRUCTURA 160 25 300,147.939,60056,1.738099271556834,TSP_GA
sol_optimas,52,1326.0,TABU_CICLOS 160 25 300,84.6082,8302,10.076902678334648,TSP_GA
sol_optimas,52,1326.0,TABU_ESTRUCTURA 160 25 300,28.3563,8275,9.718907451604352,TSP_GA
sol_optimas,198,19503.0,TABU_CICLOS 160 25 300,1750.84,16302,3.307984790874528,TSP_GA
sol_optimas,198,19503.0,TABU_ESTRUCTURA 160 25 300,371.537,16758,6.197718631178702,TSP_GA
sol_optimas,439,96141.0,TABU_CICLOS 160 25 300,10045.1,116031,8.220711267802685,TSP_GA
sol_optimas,439,96141.0,TABU_ESTRUCTURA 160 25 300,1930.08,116073,8.259884160161164,TSP_GA
sol_optimas,70,2415.0,TABU_CICLOS 160 25 300,143.502,701,3.851851851851862,TSP_GA
sol_optimas,70,2415.0,TABU_ESTRUCTURA 160 25 300,51.2066,699,3.555555555555557,TSP_GA
sol_optimas,442,97461.0,TABU_CICLOS 160 25 300,7022.87,53373,5.110480916932531,TSP_GA
sol_optimas,442,97461.0,TABU_ESTRUCTURA 160 25 300,1889.76,53675,5.7052266729685925,TSP_GA
sol_optimas,96,4560.0,TABU_CICLOS 160 25 300,275.832,57182,3.5736926950316104,TSP_GA
sol_optimas,96,4560.0,TABU_ESTRUCTURA 160 25 300,92.7355,57017,3.2748283794309003,TSP_GA
sol_optimas,783,306153.0,TABU_CICLOS 160 25 300,50401.1,9123,3.5998183057006656,TSP_GA
sol_optimas,783,306153.0,TABU_ESTRUCTURA 160 25 300,8646.38,9140,3.792868498750849,TSP_GA
sol_optimas,120,7140.0,TABU_CICLOS 160 25 300,416.386,7109,2.405646787669255,TSP_GA
sol_optimas,120,7140.0,TABU_ESTRUCTURA 160 25 300,141.119,7104,2.3336214347450266,TSP_GA
sol_optimas,226,25425.0,TABU_CICLOS 160 25 300,2351.23,85373,6.226281277607043,TSP_GA
sol_optimas,226,25425.0,TABU_ESTRUCTURA 160 25 300,477.105,85398,6.25738779877814,TSP_GA
sol_optimas,400,79800.0,TABU_CICLOS 160 25 300,7434.82,15779,3.2589490216608823,TSP_GA
sol_optimas,400,79800.0,TABU_ESTRUCTURA 160 25 300,1639.37,15818,3.5141679209475853,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,322.681,21976,3.2027801258570463,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,116.424,21756,2.1696252465483354,TSP_GA
sol_optimas,535,142845.0,TABU_CICLOS 160 25 300,17400.9,219575,8.533933073006764,TSP_GA
sol_optimas,535,142845.0,TABU_ESTRUCTURA 160 25 300,3103.44,219575,8.533933073006764,TSP_GA
sol_optimas,318,50403.0,TABU_CICLOS 160 25 300,4606.54,43819,4.258964048633089,TSP_GA
sol_optimas,318,50403.0,TABU_ESTRUCTURA 160 25 300,964.066,44260,5.308239548882909,TSP_GA
sol_optimas,575,165025.0,TABU_CICLOS 160 25 300,22879.1,7062,4.266942270781044,TSP_GA
sol_optimas,575,165025.0,TABU_ESTRUCTURA 160 25 300,3645.02,7071,4.399822825926478,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,352.177,22291,1.010512959941991,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,99.685,22389,1.4545948885263726,TSP_GA
sol_optimas,48,1128.0,TABU_CICLOS 160 25 300,60.8225,10948,3.0109145652992026,TSP_GA
sol_optimas,48,1128.0,TABU_ESTRUCTURA 160 25 300,24.1808,10933,2.8697779450508136,TSP_GA
sol_optimas,22,231.0,TABU_CICLOS 160 25 300,13.7219,7013,0.0,TSP_GA
sol_optimas,22,231.0,TABU_ESTRUCTURA 160 25 300,5.44805,7100,1.240553258234712,TSP_GA
sol_optimas,493,121278.0,TABU_CICLOS 160 25 300,17040.4,36628,4.6454488314953295,TSP_GA
sol_optimas,493,121278.0,TABU_ESTRUCTURA 160 25 300,2535.01,36633,4.65973372950117,TSP_GA
sol_optimas,100,4950.0,TABU_CICLOS 160 25 300,329.871,8009,1.2515802781289551,TSP_GA
sol_optimas,100,4950.0,TABU_ESTRUCTURA 160 25 300,98.8486,8001,1.1504424778760978,TSP_GA
